"CORAZON G. CLEMENA REAL ESTATE LESSOR","54, DANNY FLORO ST., (CGC CMPD)Bagong Ilog","APT REAL ESTATE LESSOR - BUILDING","54, DANNY FLORO ST.","(CGC CMPD)BAGONG ILOG","14.5705732","121.0701573"
"AGINGS FOOD DELIGHT","# 17 PASIG BLVD., BAGONG ILOG","RET RETAILER","# 17 PASIG BLVD.","BAGONG ILOG","14.5649974","121.0655436"
"BRIONES, ANA GENALYN E.","# 19 SGT. PASCUA, BAGONG ILOG","SAR SARI-SARI STORE; SSM BAKE SHOP","# 19 SGT. PASCUA","BAGONG ILOG","14.5653911","121.06934"
"SYREL2015 TRADING CO.","# 19-B LAKEVIEW DRIVE., BAGONG ILOG","RET TRADING; WSR IMPORTER","# 19-B LAKEVIEW DRIVE.","BAGONG ILOG","14.566025","121.0664971"
"EAST WEST BANKING CORPORATION - BG. ILOG","# 2 J.P. RIZAL BLVD. COR. LAKEVIEW DRIVE, BG ILOG, PASIG CITY, BAGONG ILOG","BNK BANK - BRANCH","# 2 J.P. RIZAL BLVD. COR. LAKEVIEW DRIVE, BG ILOG, PASIG CITY","BAGONG ILOG","14.5687985","121.0662666"
"ANALIZA'S FOOD HUB","# 2, SGT. G. SANTOS ST., BAGONG ILOG","RET RETAILER","# 2, SGT. G. SANTOS ST.","BAGONG ILOG","14.5658871","121.0709962"
"DOUBLEARCHERS CORP.","# 24 KABUTIHAN ST., KAWILIHAN VILLAGE., BAGONG ILOG","APT REAL ESTATE DEVELOPER","# 24 KABUTIHAN ST., KAWILIHAN VILLAGE.","BAGONG ILOG","14.5663103","121.0671688"
"CHRIS SARI-SARI STORE","# 39 C.A, FLORES ST., BAGONG ILOG","SAR SARI-SARI STORE","# 39 C.A, FLORES ST.","BAGONG ILOG","14.5659552","121.0721705"
"DANKA FOOD ENTERPRISES CORP.","# 4 KABUTIHAN ST., KAWILIHAN VILLAGE, BAGONG ILOG","RET TRADING; WSR WHOLESALER","# 4 KABUTIHAN ST., KAWILIHAN VILLAGE","BAGONG ILOG","14.5657448","121.0684929"
"REAL VALUE CLOTHING AND APPAREL","# 40 H PHOENIX HTS CONDO 12-A H JAVIER PASIG CITY, BAGONG ILOG","RET RETAILER","# 40 H PHOENIX HTS CONDO 12-A H JAVIER PASIG CITY","BAGONG ILOG","14.5653911","121.06934"
"S & M INDUSTRIAL CORP.","# 40 SAN BUENAVENTURA ST. BAGONG ILOG, BAGONG ILOG","SER SERVICES","# 40 SAN BUENAVENTURA ST. BAGONG ILOG","BAGONG ILOG","14.5674989","121.0722506"
"SP CCTV INSTALLATION SERVICES","# 405, KAMUNING ST., BAGONG ILOG","SER SERVICES; RET TRADING","# 405, KAMUNING ST.","BAGONG ILOG","14.5702509","121.0695103"
"-FRIZ- ICE CREAM STATION","# 42 A., FLORES ST., BAGONG ILOG","RET ICE CREAM","# 42 A., FLORES ST.","BAGONG ILOG","14.5654851","121.0717354"
"PASTOR,BIBLE SALVATION FELLOWSHIP,INC.","# 42 SGT. PASCUA ST, BAGONG ILOG","ADM ADMIN. OFFICE","# 42 SGT. PASCUA ST","BAGONG ILOG","14.5653911","121.06934"
"MIGZ MOTORCYCLE SHOP","# 5, PASIG BLVD., Bagong Ilog","SER MOTOR SHOP REPAIR","# 5, PASIG BLVD.","BAGONG ILOG","14.5649913","121.0655428"
"LOGICAL MINDS SECURITY AND INVESTIGATION AGENCY, INC.","# 54, Danny Floro St., Bagong Ilog","SER SECURITY SERVICES","# 54, Danny Floro St.","BAGONG ILOG","14.5705732","121.0701573"
"SAGRADO FAMILIA STORE","# 7 M. FLORES S, BAGONG ILOG","FIX BEER; FIX CIGARETTE; FIX FIX TAXES - LOCAL WINE; SAR SARI-SARI STORE","# 7 M. FLORES S","BAGONG ILOG","14.5630783","121.0692729"
"HAPAG-DAMAY FOUNDATION INC.","#1 E. RODRIGUEZ JR. AVE., BAGONG ILOG","ADM FOUNDATION","#1 E. RODRIGUEZ JR. AVE.","BAGONG ILOG","14.5658922","121.0698679"
"ALPHA KILO HOLDINGS","#1, CANLEY ROAD, BAGONG ILOG","IN6 HOLDING COMPANY (MAIN OFFICE)","#1, CANLEY ROAD","BAGONG ILOG","14.5711321","121.0691309"
"JSI BEAMS PROPERTY CORPORATION","#1, STA. ROSA DE LIMA EXT., BAGONG ILOG","APT LEASING","#1, STA. ROSA DE LIMA EXT.","BAGONG ILOG","14.5673173","121.0713552"
"MAKCELRON ADVANCED MECHANICAL ENGINEERING SERVICES","#10 INTERIOR A. FLORES ST., BAGONG ILOG","SER SERVICES","#10 INTERIOR A. FLORES ST.","BAGONG ILOG","14.5659552","121.0721705"
"YAYO'S SARI-SARI STORE","#12, FELIPE PIKE ST., GREEN VALLEY VILLAGE, BAGONG ILOG","CAR EATERY; SAR SARI-SARI STORE","#12, FELIPE PIKE ST., GREEN VALLEY VILLAGE","BAGONG ILOG","14.56932","121.0691821"
"MRF COCOPRODUCTS INC.","#13 KAMUNING STREET, BAGONG ILOG","ES2 ESSENTIAL COMMODITIES - WHOLESALER; ES3 ESSENTIAL COMMODITIES","#13 KAMUNING STREET","BAGONG ILOG","14.5695018","121.069389"
"REGAIN STREETWEAR APPAREL CORPORATION","#13, BANNER STREET, Bagong Ilog","WSR IMPORTER; WSR WHOLESALER","#13, BANNER STREET","BAGONG ILOG","14.5696011","121.0684259"
"ATTINA SECURITY SERVICES INC.","#142 FORTUNE BLD PASIG BLVD., BAGONG ILOG","WSR IMPORTER; SER SECURITY SERVICES","#142 FORTUNE BLD PASIG BLVD.","BAGONG ILOG","14.5657121","121.0659189"
"WESTLAKE BUILDING","#166 LAKEVIEW DRIVE, BAGONG ILOG","APT LESSOR - APARTMENT RESIDENTIAL","#166 LAKEVIEW DRIVE","BAGONG ILOG","14.5676153","121.066505"
"RNSV CORPORATION","#17B  JOE BORRIS ST., COR. C5 ROAD, BAGONG ILOG","WSE WAREHOUSE","#17B  JOE BORRIS ST., COR. C5 ROAD","BAGONG ILOG","14.5708453","121.0724108"
"SKINTECH GLOBAL INC.","#19 UNIT C4, LAKEVIEW DRIVE, Bagong Ilog","RET RETAILER; WSR IMPORTER; WSR WHOLESALER","#19 UNIT C4, LAKEVIEW DRIVE","BAGONG ILOG","14.5681273","121.0667754"
"MUÑOZ, OBETH M.","#2 A. FLORES ST., BAGONG ILOG","ES3 RICE GRAIN RETAILER; SAR SARI-SARI STORE","#2 A. FLORES ST.","BAGONG ILOG","14.5647854","121.0714888"
"M.S. LEGASPI MINI MARKET","#20 M. FLORES STREET, BAGONG ILOG","TAL TALIPAPA (PRIVATE)","#20 M. FLORES STREET","BAGONG ILOG","14.5629162","121.0697678"
"GOODLES","#20-A-2 F. INTALAN STREET, BAGONG ILOG","RET FOOD STAND","#20-A-2 F. INTALAN STREET","BAGONG ILOG","14.562351","121.069327"
"L & M SUPER SAVERS STORE","#25 PVT AURELLANA ST., BAGONG ILOG","RET GENERAL MERCHANDISE","#25 PVT AURELLANA ST.","BAGONG ILOG","14.5615417","121.0685677"
"URC EMPLOYEES MULTI-PURPOSE COOPERATIVE","#26, S. VICTORINO ST.,, Bagong Ilog","ADM COOPERATIVE","#26, S. VICTORINO ST.,","BAGONG ILOG","14.5611384","121.0698787"
"FAR EAST MEDICAL EQUIPMENT TRADING","#28 PVT. AURELLANA ST., BG. ILOG, BAGONG ILOG","APT LESSOR WAREHOUSE; WSE WAREHOUSE","#28 PVT. AURELLANA ST., BG. ILOG","BAGONG ILOG","14.5614923","121.0682429"
"DOÑA FELISA CONDOMINIUM PROPERTIES, INC.","#338 ROBINSON CI HENRY P. JAVIER ST., BAGONG ILOG","APT LESSOR CONDO UNIT; APT REAL ESTATE DEALER","#338 ROBINSON CI HENRY P. JAVIER ST.","BAGONG ILOG","14.5739501","121.066935"
"PKR REALTY AND DEVELOPMENT CORP.","#34, DR. M. FLORES STREET, Bagong Ilog","APT REAL ESTATE DEVELOPER","#34, DR. M. FLORES STREET","BAGONG ILOG","14.5676107","121.0771597"
"SKYGATE COMMERCIAL CORP.","#4 E.RODRIGUEZ JR. AVE., BAGONG ILOG","APT LESSOR COMMERCIAL SPACE","#4 E.RODRIGUEZ JR. AVE.","BAGONG ILOG","14.5669629","121.0708097"
"BUKAS LOOB SA DIYOS METRO MANILA DISTRICT FOUNDATION (BLDMMDFI) INC.","#41, LAKEVIEW DRIVE, BAGONG ILOG","ADM FOUNDATION","#41, LAKEVIEW DRIVE","BAGONG ILOG","14.5651968","121.0670451"
"PASIG BIBLE CHRISTIAN MISSION, INC.","#42 B. TATCO ST., BAGONG ILOG","ADM CHURCH","#42 B. TATCO ST.","BAGONG ILOG","14.5658599","121.0727851"
"PLANTEX SOLUTION INT`L. CORP.","#43 FELIPE PIKE ST., Bagong Ilog","SSM SMALL SCALE MANUFACTURER; RET RETAILER; WSR WHOLESALER","#43 FELIPE PIKE ST.","BAGONG ILOG","14.5667473","121.0694941"
"HORIZON BUSINESS OUTSOURCING INT`L. INC.","#5 E. MEJIA STREET, BAGONG ILOG","SER BUSINESS PROCESS OUTSOURCING","#5 E. MEJIA STREET","BAGONG ILOG","14.5648093","121.0694754"
"L.L SEBASTIAN MERCHANDISE","#55-A CPL CRUZ ST., BAGONG ILOG","RET RETAILER","#55-A CPL CRUZ ST.","BAGONG ILOG","14.5653911","121.06934"
"BSA AND SONS, INC.","#62 SAN ROQUE EXT,ST.PASIG CITY, BAGONG ILOG","RET RETAILER; WSR WHOLESALER; SER SERVICES","#62 SAN ROQUE EXT,ST.PASIG CITY","BAGONG ILOG","14.5613111","121.0677223"
"JHO-C SALON","#8 SGT. PASCUA ST., BG. ILOG, BAGONG ILOG","SER BEAUTY PARLOR","#8 SGT. PASCUA ST., BG. ILOG","BAGONG ILOG","14.5653911","121.06934"
"J ANGELES PROPERTIES AND MANAGEMENT INC.","#834 FELIPE PIKE ST., BAGONG ILOG","APT REAL ESTATE - COMMERCIAL","#834 FELIPE PIKE ST.","BAGONG ILOG","14.565586","121.069675"
"AKO IKAW MAY-ARI NG KOOPERATIBA","#88, SAN BUENAVENTURA ST, Bagong Ilog","ADM COOPERATIVE","#88, SAN BUENAVENTURA ST","BAGONG ILOG","14.5674372","121.071657"
"FIL-EXPRESS INTERNATIONAL REMITTANCE & DELIVERY SERVICES, INC.",". 7/F PRESTIGE SMB BLDG. 40 SAN BUENAVENTURA ST.,, BAGONG ILOG","SER REMITTANCE SERVICES",". 7/F PRESTIGE SMB BLDG. 40 SAN BUENAVENTURA ST.,","BAGONG ILOG","14.5674989","121.0722506"
"PAINTENG PAINTING WORKS","005, PASIG BLVD., BAGONG ILOG","SER SERVICES","005, PASIG BLVD.","BAGONG ILOG","14.5649913","121.0655428"
"KANTINA KITCHENS OPC","01, LAKE VIEW DRIVE FELPRIS COMPOUND, BAGONG ILOG","ADM ADMIN. OFFICE","01, LAKE VIEW DRIVE FELPRIS COMPOUND","BAGONG ILOG","14.5653236","121.0668709"
"FSPC PHARMACEUTICALS INC.","05, YAKAL ST., GREEN VALLEY SUBD., BAGONG ILOG","RET RETAILER; WSR WHOLESALER","05, YAKAL ST., GREEN VALLEY SUBD.","BAGONG ILOG","14.5696172","121.0697933"
"AMF CAR AIRCON SERVICE","08 E. RODRIGUEZ AVE., BAGONG ILOG","RET PARTS; SER CAR AIRCONDITIONING","08 E. RODRIGUEZ AVE.","BAGONG ILOG","14.5667417","121.0704365"
"EMCPL ENTERPRISES","1 R. VALDEZ ST., BAGONG ILOG","SER TRUCKING SERVICES","1 R. VALDEZ ST.","BAGONG ILOG","14.5646136","121.0712734"
"IC3 TECHNOLOGY SOLUTIONS INC.","1 UNIT-101, STA ROSA  DE LIMA STREET, BAGONG ILOG","SER INFORMATION TECHNOLOGY SERVICES","1 UNIT-101, STA ROSA  DE LIMA STREET","BAGONG ILOG","14.5673248","121.0722692"
"FIXING BITS MOTORCYCLE PARTS SUPPLY","1, B. TATCO ST., BAGONG ILOG","RET MOTOR CYCLE PARTS","1, B. TATCO ST.","BAGONG ILOG","14.5661835","121.0715996"
"ZYRON JAMES PARES MAMI HOUSE","1, B. TATCO ST., BAGONG ILOG","CAR CARENDERIA","1, B. TATCO ST.","BAGONG ILOG","14.5661835","121.0715996"
"HIGH HOPES COMMERCIAL UNIT LEASING","1, B. TATCO ST., BAGONG ILOG","APT LESSOR - APARTMENT RESIDENTIAL","1, B. TATCO ST.","BAGONG ILOG","14.5661835","121.0715996"
"BAMACOM, INC.","1, BANNER STREET, BAGONG ILOG","ADM ADMIN. OFFICE","1, BANNER STREET","BAGONG ILOG","14.5711362","121.0685904"
"FOOD HONORS INC.","1, CANLEY RD., BAGONG ILOG","RET RETAILER","1, CANLEY RD.","BAGONG ILOG","14.5711321","121.0691309"
"VICTORIA STYLES INC.","1, CANLEY ROAD, BAGONG ILOG","WSR DISTRIBUTORS","1, CANLEY ROAD","BAGONG ILOG","14.5711321","121.0691309"
"J. GONZALES PROPERTY RENTAL","1, F. INTALAN ST., BAGONG ILOG","APT LESSOR - APARTMENT RESIDENTIAL","1, F. INTALAN ST.","BAGONG ILOG","14.5624553","121.0695575"
"RMN FOOD SERVICES","1, SAN BUENAVENTURA ST, BAGONG ILOG","CAR CARENDERIA","1, SAN BUENAVENTURA ST","BAGONG ILOG","14.5652333","121.070464"
"ROSELY CANTEEN","1, SANTIAGO ST., BAGONG ILOG","CAR CARENDERIA","1, SANTIAGO ST.","BAGONG ILOG","14.5606541","121.0692954"
"THOR LIGHTNING SOLUTIONS INC.","1, STA. ROSA DE LIMA EXT., Bagong Ilog","BSM BIG SCALE MANUFACTURER; WSR IMPORTER; WSR WHOLESALER","1, STA. ROSA DE LIMA EXT.","BAGONG ILOG","14.5673173","121.0713552"
"TRILLOR CORPORATION","1, STA. ROSA DE LIMA EXT., Bagong Ilog","SER ADVERTISING","1, STA. ROSA DE LIMA EXT.","BAGONG ILOG","14.5673173","121.0713552"
"MOSES PHARMACY","10 DR, M. FLORES ST., BAGONG ILOG","DRG PHARMACY; RET RETAILER","10 DR, M. FLORES ST.","BAGONG ILOG","14.5632321","121.0694652"
"E.G. ADVERTISING","10, BANNER ST., BAGONG ILOG","SER ADVISORY SERVICES","10, BANNER ST.","BAGONG ILOG","14.57018","121.06878"
"TECH-ASIA INDUSTRIAL ENTERPRISES CORP.","10, BANNER STREET, BAGONG ILOG","WSE WAREHOUSE","10, BANNER STREET","BAGONG ILOG","14.57018","121.06878"
"JW SARI-SARI STORE","10, SAN BUENAVENTURA ST, BAGONG ILOG","SAR SARI-SARI STORE","10, SAN BUENAVENTURA ST","BAGONG ILOG","14.5674822","121.071998"
"MONDARES, RONALDO POSADAS","10-B, SAN BUENAVENTURA ST., BAGONG ILOG","RES EATERY","10-B, SAN BUENAVENTURA ST.","BAGONG ILOG","14.5674822","121.071998"
"LILYCREATIONS INC.","10-D, PHOENIX HEIGHTS CONDO , CAPT. HENRY JAVIER COR. CANLEY RD.,, BAGONG ILOG","SSM SMALL SCALE MANUFACTURER","10-D, PHOENIX HEIGHTS CONDO , CAPT. HENRY JAVIER COR. CANLEY RD.,","BAGONG ILOG","14.5719283","121.0683312"
"BROTHERS SY-QUIA PARKING MANAGEMENT INC.","100 CANLEY ROAD, BAGONG ILOG","SER PARKING","100 CANLEY ROAD","BAGONG ILOG","14.571158","121.0691931"
"Q & H FOODS INC.","100, CANLEY RD., BAGONG ILOG","WSE WAREHOUSE","100, CANLEY RD.","BAGONG ILOG","14.571158","121.0691931"
"PROJECT DUO EVENTS AND MARKETING CORP.","100, CANLEY ROAD, BAGONG ILOG","WSE WAREHOUSE","100, CANLEY ROAD","BAGONG ILOG","14.571158","121.0691931"
"IDEYA MATTERS ADVERTISING","100, CANLEY ROAD, BAGONG ILOG","SER ADVERTISING","100, CANLEY ROAD","BAGONG ILOG","14.571158","121.0691931"
"FIBERNET BROADBAND INC.","100, CANLEY ROAD, BAGONG ILOG","WSE WAREHOUSE","100, CANLEY ROAD","BAGONG ILOG","14.571158","121.0691931"
"SEEK SHINE INC.","103 FORTUNE BLDG., PASIG BLVD., BAGONG ILOG","RET RETAILER","103 FORTUNE BLDG., PASIG BLVD.","BAGONG ILOG","14.5657121","121.0659189"
"THE PRAEGRESSUS LAND CORP.","11 E. RODRIGUEZ JR. AVE., BAGONG ILOG","SER SERVICES","11 E. RODRIGUEZ JR. AVE.","BAGONG ILOG","14.56781","121.070272"
"COMPOSITE MATERIALS, INC.","11 JOE BORRIS ST., BAGONG ILOG","WSR WHOLESALER","11 JOE BORRIS ST.","BAGONG ILOG","14.5707683","121.0731046"
"MALYBELL, CORPORATION","11, A. FLORES ST., BAGONG ILOG","WSR WHOLESALER","11, A. FLORES ST.","BAGONG ILOG","14.5649719","121.0713336"
"EVERYJUAN ACCOUNTING SOLUTIONS INC.","11, BANNER ST., BAGONG ILOG","SER ACCOUNTING SERVICES","11, BANNER ST.","BAGONG ILOG","14.5696836","121.0684306"
"WE EMPOWER ECOMMERCE SOLUTIONS INC.","11, BANNER ST., BAGONG ILOG","APT LEASING; SER SERVICES","11, BANNER ST.","BAGONG ILOG","14.5696836","121.0684306"
"THOUGHTFULL GIFT SHOP","11, BANNER ST., BAGONG ILOG","RET RETAILER","11, BANNER ST.","BAGONG ILOG","14.5696836","121.0684306"
"DWELLBEING INC.","11, BANNER STREET, BAGONG ILOG","RET RETAILER","11, BANNER STREET","BAGONG ILOG","14.5696836","121.0684306"
"OTG HEALTH RETAIL OPC","11, BANNER STREET, BAGONG ILOG","RET RETAILER; WSR WHOLESALER","11, BANNER STREET","BAGONG ILOG","14.5696836","121.0684306"
"FP LEE CONCEPTS INCORPORATED","11, BANNER STREET, Bagong Ilog","RET RETAILER","11, BANNER STREET","BAGONG ILOG","14.5696836","121.0684306"
"EVERYDAY DELIGHTS SUPPLY ENTERPRISES OPC","11, BANNER STREET, BAGONG ILOG","RET FOOD PRODUCT","11, BANNER STREET","BAGONG ILOG","14.5696836","121.0684306"
"PAHATID PARA SAYO LOGISTICS CORP.","11, BANNER STREET, BAGONG ILOG","SER LOGISTIC SERVICES","11, BANNER STREET","BAGONG ILOG","14.5696836","121.0684306"
"TOKI TOKI LOGISTICS INC.","11, BANNER STREET, Bagong Ilog","SER LOGISTIC SERVICES","11, BANNER STREET","BAGONG ILOG","14.5696836","121.0684306"
"KATALYST ENTERPRISES OPC","11, BANNER STREET, BAGONG ILOG","RET RETAILER","11, BANNER STREET","BAGONG ILOG","14.5696836","121.0684306"
"2X4 TRADING CORP.","11, BANNER STREET, Bagong Ilog","RET TRADING","11, BANNER STREET","BAGONG ILOG","14.5696836","121.0684306"
"PAN PHARMACEUTICAL AND NUTRITIONAL PRODUCTS, INC.","11, E. RODRIGUEZ JR. AVE., BAGONG ILOG","WSR WHOLESALER","11, E. RODRIGUEZ JR. AVE.","BAGONG ILOG","14.56781","121.070272"
"NUTRIOPTION INC.","11, E. Rodriguez Jr. Ave., Bagong Ilog","WSR WHOLESALER","11, E. Rodriguez Jr. Ave.","BAGONG ILOG","14.56781","121.070272"
"APPLETOTO RESIDENTIAL APARTMENT LEASING","11, IKONG STREET, BAGONG ILOG","APT LESSOR - APARTMENT RESIDENTIAL","11, IKONG STREET","BAGONG ILOG","14.5604975","121.068077"
"ALASKA LAND, INC. (BRANCH)","12, BANNER ST., BAGONG ILOG","APT LESSOR COMMERCIAL SPACE","12, BANNER ST.","BAGONG ILOG","14.5699992","121.0687293"
"ECO SHOP PH CORP.","12, FRANCISCO ST., BAGONG ILOG","RET RETAILER","12, FRANCISCO ST.","BAGONG ILOG","14.5630569","121.0703887"
"ANA SOFIA B. LABRADOR MUSICIAN MUSIC COMPOSITION SERVICES","12, H. JAVIER ST. PHOENIX SUBDIVISION, BAGONG ILOG","SER MUSICAL RECORDING & SERVICES","12, H. JAVIER ST. PHOENIX SUBDIVISION","BAGONG ILOG","14.5724405","121.0675488"
"THE VISUAL (OOH) SPECIALIST CORPORATION","12, KABUTIHAN ST., KAWILIHAN VILLAGE, BAGONG ILOG","SER SERVICES","12, KABUTIHAN ST., KAWILIHAN VILLAGE","BAGONG ILOG","14.56551","121.0680915"
"VERSOZA SALTA REALTY CORP.","12, L FRANCISCO ST, BAGONG ILOG","APT LESSOR - APARTMENT RESIDENTIAL; APT LESSOR COMMERCIAL SPACE","12, L FRANCISCO ST","BAGONG ILOG","14.5631207","121.0705748"
"KAVB DISTRIBUTION INC.","13, BANNER STREET, Bagong Ilog","ADM ADMIN. OFFICE","13, BANNER STREET","BAGONG ILOG","14.5696011","121.0684259"
"THE NINESPH INC.","13, BANNER STREET, Bagong Ilog","ADM ADMIN. OFFICE; WSR WHOLESALER","13, BANNER STREET","BAGONG ILOG","14.5696011","121.0684259"
"YETSKIE NETSHOP COMPUTER RENTAL","13, DR. MAXIMO FLORES, BAGONG ILOG","APT COMPUTER RENTALS","13, DR. MAXIMO FLORES","BAGONG ILOG","14.562908","121.069483"
"WESTECH AIRCON & REFRIGERATION SERVICES","13, L. FRANCISCO ST., BAGONG ILOG","SER SERVICES","13, L. FRANCISCO ST.","BAGONG ILOG","14.5631207","121.0705748"
"TWO BADO'S VAPESHOP","13, SAN BUENAVENTURA ST, BAGONG ILOG","RET RETAILER","13, SAN BUENAVENTURA ST","BAGONG ILOG","14.565797","121.0707649"
"FRECKLED BEAUTY SALON","13, SGT. PASCUA ST., BAGONG ILOG","SER PARLOR","13, SGT. PASCUA ST.","BAGONG ILOG","14.5653911","121.06934"
"UNIQUEVERSE MOBILE BAR","138 R. VALDEZ EXT., BAGONG ILOG","SER EVENT COORDINATOR","138 R. VALDEZ EXT.","BAGONG ILOG","14.5646709","121.0718527"
"SANTOS, EDNA L.","14 SGT. PASCUA ST., BAGONG ILOG","SAR SARI-SARI STORE","14 SGT. PASCUA ST.","BAGONG ILOG","14.5647738","121.0709955"
"D` CASTRO FOOD SERVICES","14 STA. ROSA DE LIMA ST., BAGONG ILOG","SER CATERING SERVICES FORMERLY RETAILER - FOOD OUTLET","14 STA. ROSA DE LIMA ST.","BAGONG ILOG","14.5668615","121.0720611"
"TIMMY'S ONE APARTMENT","14, F. INTALAN ST., BAGONG ILOG","APT LESSOR - APARTMENT RESIDENTIAL; APT LESSOR COMMERCIAL SPACE","14, F. INTALAN ST.","BAGONG ILOG","14.5618539","121.0698054"
"ESMERALDA LAUNDRY SHOP","14, F. INTALAN STREET, BAGONG ILOG","SER LAUNDRY","14, F. INTALAN STREET","BAGONG ILOG","14.5618539","121.0698054"
"VLN PROPERTIES INCORPORATED","14, LAKEVIEW DRIVE, BAGONG ILOG","APT LESSOR - APARTMENT RESIDENTIAL","14, LAKEVIEW DRIVE","BAGONG ILOG","14.5681459","121.0670114"
"RED STONE PROPERTY MANAGEMENT","140, PASIG BLVD., BAGONG ILOG","APT COMMERCIAL UNIT","140, PASIG BLVD.","BAGONG ILOG","14.5653776","121.0659529"
"5G SECURITY TRAINING ACADEMY INC.","142 FORTUNE BLDG PASIG BLVD., BAGONG ILOG","EDU SER SCHOOL NOT REGULATED BY DECS; FIX FIX TAXES","142 FORTUNE BLDG PASIG BLVD.","BAGONG ILOG","14.5657121","121.0659189"
"AQUARIUS AGRO INDL. DEVELOPMENT CORP.","146 SHAW BLVD., BAGONG ILOG","APT LESSOR WAREHOUSE","146 SHAW BLVD.","BAGONG ILOG","14.5718903","121.0643219"
"EDLR CORPORATION","146, PASIG BLVD., BAGONG ILOG","APT RENTAL OF HEAVY EQUIPMENT; SER SERVICES","146, PASIG BLVD.","BAGONG ILOG","14.5659237","121.0661688"
"NEED INK CORPORATION","146, SHAW BLVD.  EXTENSION, Bagong Ilog","RET RETAILER; SER SERVICES","146, SHAW BLVD.  EXTENSION","BAGONG ILOG","14.5623908","121.0666353"
"PRIMOS WATER REFILLING STATION","15, PASIG BLVD., BAGONG ILOG","ES3 ESSENTIAL COMMODITIES - RETAILER","15, PASIG BLVD.","BAGONG ILOG","14.565358","121.065916"
"RCT APARTMENTS","15, SANTIAGO ST., BAGONG ILOG","APT LESSOR - APARTMENT RESIDENTIAL","15, SANTIAGO ST.","BAGONG ILOG","14.5609609","121.068686"
"KYIANNE LUCAS SARI-SARI STORE","15, VICTORINO ST, BAGONG ILOG","SAR SARI-SARI STORE","15, VICTORINO ST","BAGONG ILOG","14.5613986","121.0698274"
"A.B. SAN ANDRES OPTICAL CLINIC","15-B, SGT. PASCUA ST., BAGONG ILOG","RET OPTICAL CLINIC","15-B, SGT. PASCUA ST.","BAGONG ILOG","14.5653911","121.06934"
"BANK OF COMMERCE","152 PASIG BLVD., BAGONG ILOG","BNK BANK - BRANCH","152 PASIG BLVD.","BAGONG ILOG","14.5665132","121.0656766"
"LH10 PROPERTY DEVELOPMENT INC.","152, PASIG BLVD.,, BAGONG ILOG","APT REAL ESTATE DEVELOPER","152, PASIG BLVD.,","BAGONG ILOG","14.5665132","121.0656766"
"PILAR`S FLOWER GUMPASTE PRODUCTS","16 F. INTALAN ST., BAGONG ILOG","RET RETAILER","16 F. INTALAN ST.","BAGONG ILOG","14.5617698","121.0698634"
